From Date,To Date,AT,BP,NO,NO2,NOx,Ozone,PM10,RH,SO2,SR,PM2.5
24-01-2017 08:00,24-01-2017 16:00,19.75,734.18,23.25,83.19,105.86,75.82,365.46,49.26,21.6,242.72,215.06
24-01-2017 16:00,25-01-2017 00:00,14.72,735.36,377.03,125.6, ,16.02,547.49,68.17,36.5,13.11,308.6
25-01-2017 00:00,25-01-2017 08:00,10.49,735.48,492.07,72.74, ,11.22,502.76,84.49,24.79,5.46,377.45
25-01-2017 08:00,25-01-2017 16:00,19.15,735.11,25.46,71.91,98.78,49.93,317.44,58.06,24.66,174.04,211.24
25-01-2017 16:00,26-01-2017 00:00,17.61,735.36,20.21,89.75,107.6,23.26,291.97,63.96,26.96,12.09,198.23
26-01-2017 00:00,26-01-2017 08:00,14.51,735.51,11.61,62.92,71.91,14.81,228.56,75.1,27.26,5.95,199.76
26-01-2017 08:00,26-01-2017 16:00,13.51,735.49,5.65,49,51.38,21.8,195.54,78.75,27.33,17.29,179.49
26-01-2017 16:00,27-01-2017 00:00,11.64,735.56,11.53,52.05,62.14,12.51,68.55,87.77,22.42,3.17,78.69
27-01-2017 00:00,27-01-2017 08:00,10.48,735.71,2.98,35.47,35.69,16.13,32.65,87.67,23.62,3.77,32.45
27-01-2017 08:00,27-01-2017 16:00,14.35,735.4,5.44,32.23,36.14,46.28,84.72,68.74,24.58,239.8, 
27-01-2017 16:00,28-01-2017 00:00,11.22,735.4,7.14,50.27,54.53,21.16,160.75,75.06,26.03,17.36,116.29
28-01-2017 00:00,28-01-2017 08:00,7.98,735.51,10.54,42.6,52.32,9.41,190.92,85.27,25.92,4.79,126.13
28-01-2017 08:00,28-01-2017 16:00,12.56,735.08,9.76,41.33,50.15,44.02,188.44,73.39,22.85,255.77,62.8
28-01-2017 16:00,29-01-2017 00:00,11.28,735.04,3.56,42.9,43.07,27.98,177.45,77.28,25.45,14.09,11
29-01-2017 00:00,29-01-2017 08:00,8.54,735.1,1.04,31.82,29.74,22.21,204.94,86.06,25.19,4.9, 
29-01-2017 08:00,29-01-2017 16:00,14.63,734.74,3.34,30.2,31.47,40.44,178.27,66.69,21.38,274.02, 
29-01-2017 16:00,30-01-2017 00:00,12.56,735.01,64.53,62.39,143.7,12.55,292.47,74.75,28.67,17.71, 
30-01-2017 00:00,30-01-2017 08:00,8.3,735.08,104.79,45.74,183.88,11.97,371.73,87.03,26.92,4.56, 
30-01-2017 08:00,30-01-2017 16:00,15.42,734.07,15.25,52.98,67.98,74.31,187.25,63.67,18.47,276.54,31.12
30-01-2017 16:00,31-01-2017 00:00,12.38,735.51,272.07,84.69,446.95,24.73,395.96,70.97,33.5,14.18,7.62
31-01-2017 00:00,31-01-2017 08:00,7.9,735.99,421.62,40.09, ,8.27,378.8,86.96,30.08,5.81, 
31-01-2017 08:00,31-01-2017 16:00,18.46,734.06,75.2,86.06,179.35,59.33,310.66,54.95,17.74,300.04,39.83
31-01-2017 16:00,01-02-2017 00:00,13.65,735.76,82.17,88.69,191.25,19.87,250.1,69.4,27.35,14.38,138.91
01-02-2017 00:00,01-02-2017 08:00,8.45,736.29,61.51,56.35,134.19,6.52,233.89,86.1,22.29,4.92,155.42
01-02-2017 08:00,01-02-2017 16:00,15.66,734.75,11.6,53.97,63.91,56.18,193.12,60.8,24.31,303.3,111.67
01-02-2017 16:00,02-02-2017 00:00,12.46,735.66,279.16,84.9,456.84,21.53,402.13,67.96,36.57,12.73,218.87
02-02-2017 00:00,02-02-2017 08:00,7.6,736.23,394.68,52.93, ,7.08,422.46,86.75,25.54,7.05,287.54
02-02-2017 08:00,02-02-2017 16:00,18.76,734.57,61.61,90.03,164.37,66.68,312.53,47.56,23.62,294.3,198.14
02-02-2017 16:00,03-02-2017 00:00,12.67,735.71,275.53,103.62,468.53,25.77,410.84,64.36,34.61,16.09,236.28
03-02-2017 00:00,03-02-2017 08:00,8.11,736.26,280.17,59.87,435.96,6.99,411.95,85.78,25.53,7.05,289.05
03-02-2017 08:00,03-02-2017 16:00,19.29,734.15,47.64,80.89,137.12,52.09,322.96,48.98,17.45,305.29,200.82
03-02-2017 16:00,04-02-2017 00:00,14.11,735.83,377.41,107.93, ,27.18,502.68,69.19,35.7,15.74,280.51
04-02-2017 00:00,04-02-2017 08:00,10.19,736.48,233.04,54.27,366.61,6.78,401.42,86.34,19.47,6.81,267.25
04-02-2017 08:00,04-02-2017 16:00,17.62,735.85,8.49,54.89,60.53,50.53,288.62,63.36,20.35,247.44,188.85
04-02-2017 16:00,05-02-2017 00:00,15.74,736,5.86,55.43,57.41,51.49,271.55,69.35,27.04,16.09,186.06
05-02-2017 00:00,05-02-2017 08:00,13.1,736,2.61,36.3,35.9, ,237.35,75.34,25.48,5.6,172.09
05-02-2017 08:00,05-02-2017 16:00,17.44,735.85,5.29,39.89,42.8, ,236.1,60.04,23.96,220.51,162.61
05-02-2017 16:00,06-02-2017 00:00,14.86,735.92,149.36,70.56,266.8, ,349.51,74.02,29.21,15.02,206.01
06-02-2017 00:00,06-02-2017 08:00,11.11,736.4,154.21,47.36,252.8, ,403.65,86.75,26.03,5.25,287.7
06-02-2017 08:00,06-02-2017 16:00,17.65,734.9,16.13,39.38,57.11,25.27,339.93,58.86,21.52,286.32,188.62
06-02-2017 16:00,07-02-2017 00:00,13.4,735.52,19.66,77.61,95.97,16.84,243.6,52.69,25.16,13.33,93.34
07-02-2017 00:00,07-02-2017 08:00,7.31,736.05,18.04,60.35,78.36,10.7,164.87,69.45,24.31,6.17,77.35
07-02-2017 08:00,07-02-2017 16:00,16.23,733.85,5.78,35.33,39.36,63.76,220.1,42.11,22.19,332.15,79.73
07-02-2017 16:00,08-02-2017 00:00,13.2,735.86,29.34,85.81,116.54,27.02,233.55,58.36,27.09,17.81,96.57
08-02-2017 00:00,08-02-2017 08:00,7.62,736.49,57.57,62.87,134.62,6.82,255.8,80.97,26.67,6.61,153.77
08-02-2017 08:00,08-02-2017 16:00,17.52,734.6,17.55,44.92,63.98,70.71,323.56,44.02,20.65,310.14,160.28
08-02-2017 16:00,09-02-2017 00:00,13.63,735.84,149.9,101.85,295.44,28.08,334.19,54.52,30.82,12.45,143.64
09-02-2017 00:00,09-02-2017 08:00,8.65,736.47,69.21,79.25,165.14,6.12,225.47,75.51,24.53,6.33,64.31
09-02-2017 08:00,09-02-2017 16:00,17.27,734.55,27.73,55.33,87.17,72.01,387.07,46.79,24.73,317.98,162.5
